key,en,de,fr,es
"You have unsaved changes","You have unsaved changes","Du hast ungespeicherte Änderungen","Vous avez des modifications non enregistrées","Tienes cambios sin guardar"
"Would you like to save before leaving?","Would you like to save before leaving?","Möchtest du vor dem Verlassen speichern?","Souhaitez-vous enregistrer avant de quitter ?","¿Quieres guardar antes de salir?"
"Keep editing","Keep editing","Weiter bearbeiten","Continuer à modifier","Seguir editando"
"Discard changes","Discard changes","Änderungen verwerfen","Ignorer les modifications","Descartar cambios"
"Save changes","Save changes","Änderungen speichern","Enregistrer les modifications","Guardar cambios"
"Cue Volume","Cue Volume","Signal-Lautstärke","Volume du signal","Volumen de señal"
"Louder than music","Louder than music","Lauter als Musik","Plus fort que la musique","Más alto que la música"
"Lowers music volume while cues play","Lowers music volume while cues play","Senkt die Musiklautstärke während Signale abgespielt werden","Baisse le volume de la musique pendant les signaux","Reduce el volumen de la música mientras suenan las señales"
"Save to Health","Save to Health","In Health speichern","Enregistrer dans Santé","Guardar en Salud"
"Saved to Health","Saved to Health","In Health gespeichert","Enregistré dans Santé","Guardado en Salud"
"Add Location","Add Location","Standort hinzufügen","Ajouter un lieu","Añadir ubicación"
"Tap to add location","Tap to add location","Tippen, um Standort hinzuzufügen","Appuyez pour ajouter un lieu","Toca para añadir ubicación"
"You are here","You are here","Du bist hier","Vous êtes ici","Estás aquí"
"Clear manual location","Clear manual location","Manuellen Standort entfernen","Supprimer le lieu manuel","Eliminar ubicación manual"
"Looking up…","Looking up…","Wird gesucht…","Recherche…","Buscando…"
"Gym, city, neighbourhood…","Gym, city, neighbourhood…","Fitnessstudio, Stadt, Viertel…","Salle, ville, quartier…","Gimnasio, ciudad, barrio…"
"Use your own photo","Use your own photo","Eigenes Foto verwenden","Utiliser votre propre photo","Usar tu propia foto"
"Take Photo","Take Photo","Foto aufnehmen","Prendre une photo","Tomar foto"
"Photo Library","Photo Library","Fotomediathek","Photothèque","Fototeca"
"No pinned timers","No pinned timers","Keine angehefteten Timer","Aucun minuteur épinglé","No hay temporizadores fijados"
"Pin timers in the app to see them here.","Pin timers in the app to see them here.","Hefte Timer in der App an, um sie hier zu sehen.","Épinglez des minuteurs dans l'app pour les voir ici.","Fija temporizadores en la app para verlos aquí."
"Pinned Timers","Pinned Timers","Angeheftete Timer","Minuteurs épinglés","Temporizadores fijados"
"Quick-start your pinned timers.","Quick-start your pinned timers.","Starte deine angehefteten Timer mit einem Tippen.","Démarrez rapidement vos minuteurs épinglés.","Inicia rápidamente tus temporizadores fijados."
# ── Paywall & store (App Store review fixes) ──────────────────────────────────
"2 free runs total. Upgrade for unlimited.","2 free runs total. Upgrade for unlimited.","2 kostenlose Durchläufe insgesamt. Upgrade für unbegrenzte Nutzung.","2 sessions gratuites au total. Passez à l'illimité.","2 sesiones gratis en total. Actualiza para uso ilimitado."
"Couldn’t load subscription options.","Couldn’t load subscription options.","Abo-Optionen konnten nicht geladen werden.","Impossible de charger les options d’abonnement.","No se pudieron cargar las opciones de suscripción."
"Please check your internet connection and try again.","Please check your internet connection and try again.","Bitte überprüfe deine Internetverbindung und versuche es erneut.","Veuillez vérifier votre connexion internet et réessayer.","Comprueba tu conexión a internet e inténtalo de nuevo."
"Retry","Retry","Erneut versuchen","Réessayer","Reintentar"
"Apple Health","Apple Health","Apple Health","Apple Santé","Apple Salud"
"Save sessions to Apple Health","Save sessions to Apple Health","Einheiten in Apple Health speichern","Enregistrer les séances dans Apple Santé","Guardar sesiones en Apple Salud"
"Completed sessions are saved to Apple Health as workouts or mindful minutes. You can also save individually after each session.","Completed sessions are saved to Apple Health as workouts or mindful minutes. You can also save individually after each session.","Abgeschlossene Einheiten werden als Workouts oder Achtsamkeitsminuten in Apple Health gespeichert. Du kannst sie auch nach jeder Einheit einzeln speichern.","Les séances terminées sont enregistrées dans Apple Santé comme entraînements ou minutes de pleine conscience. Vous pouvez aussi les enregistrer individuellement après chaque séance.","Las sesiones completadas se guardan en Apple Salud como entrenamientos o minutos de conciencia plena. También puedes guardarlas individualmente después de cada sesión."
"Run your timers as much as you want — no limits.","Run your timers as much as you want — no limits.","Nutze deine Timer so oft du willst – ganz ohne Limit.","Utilisez vos minuteurs autant que vous voulez, sans limites.","Usa tus temporizadores tanto como quieras, sin límites."
"Restore purchases","Restore purchases","Käufe wiederherstellen","Restaurer les achats","Restaurar compras"
"Subscription renews automatically. Cancel anytime in Settings.","Subscription renews automatically. Cancel anytime in Settings.","Das Abo verlängert sich automatisch. Jederzeit in den Einstellungen kündbar.","L'abonnement se renouvelle automatiquement. Annulez à tout moment dans les Réglages.","La suscripción se renueva automáticamente. Cancela cuando quieras en Ajustes."
"Terms of Use (EULA)","Terms of Use (EULA)","Nutzungsbedingungen (EULA)","Conditions d'utilisation (EULA)","Términos de uso (EULA)"
"Annual","Annual","Jährlich","Annuel","Anual"
"Monthly","Monthly","Monatlich","Mensuel","Mensual"
"Lifetime","Lifetime","Lebenslang","À vie","De por vida"
"7-day free trial","7-day free trial","7 Tage kostenlos testen","7 jours d'essai gratuit","7 días de prueba gratis"
"One-time","One-time","Einmalig","Paiement unique","Pago único"
"Pay once, keep forever","Pay once, keep forever","Einmal zahlen, für immer behalten","Payez une fois, gardez à vie","Paga una vez, tuyo para siempre"
"%@ / month","%@ / month","%@ / Monat","%@ / mois","%@ / mes"
# ── Onboarding ────────────────────────────────────────────────────────────────
"Designed to disappear — and to get you in the flow","Designed to disappear — and to get you in the flow","Gemacht, um zu verschwinden — und dich in den Flow zu bringen","Conçu pour disparaître — et vous mettre dans le flow","Diseñado para desaparecer — y llevarte al flow"
"One timer for training, breathwork, meditation, and deep focus.","One timer for training, breathwork, meditation, and deep focus.","Ein Timer für Training, Atemübungen, Meditation und tiefe Konzentration.","Un seul minuteur pour l'entraînement, la respiration, la méditation et la concentration profonde.","Un solo temporizador para entrenamiento, respiración, meditación y concentración profunda."
"The only interval timer you will need","The only interval timer you will need","Der einzige Intervall-Timer, den du brauchst","Le seul minuteur d'intervalles dont vous aurez besoin","El único temporizador de intervalos que necesitarás"
"Finally an interval timer that covers many areas of life. Love the unique features like using a flashlight or vibration as a cue.","Finally an interval timer that covers many areas of life. Love the unique features like using a flashlight or vibration as a cue.","Endlich ein Intervall-Timer, der viele Lebensbereiche abdeckt. Ich liebe die besonderen Features wie Taschenlampe oder Vibration als Signal.","Enfin un minuteur d'intervalles qui couvre de nombreux domaines de la vie. J'adore les fonctions uniques comme la lampe torche ou la vibration comme signal.","Por fin un temporizador de intervalos que cubre muchas áreas de la vida. Me encantan las funciones únicas como la linterna o la vibración como señal."
"Get Started","Get Started","Los geht's","Commencer","Empezar"
"Continue","Continue","Weiter","Continuer","Continuar"
"What do you practice?","What do you practice?","Was praktizierst du?","Que pratiquez-vous ?","¿Qué practicas?"
"Choose one or more — Cadence covers them all.","Choose one or more — Cadence covers them all.","Wähle eins oder mehrere — Cadence kann alle.","Choisissez-en une ou plusieurs — Cadence les couvre toutes.","Elige una o varias — Cadence las cubre todas."
"Breathwork, meditation & wind-down","Breathwork, meditation & wind-down","Atemübungen, Meditation & Entspannung","Respiration, méditation & détente","Respiración, meditación y relajación"
"HIIT, Tabata, running & cold exposure","HIIT, Tabata, running & cold exposure","HIIT, Tabata, Laufen & Kälteexposition","HIIT, Tabata, course & exposition au froid","HIIT, Tabata, correr y exposición al frío"
"Deep work, Pomodoro & reading","Deep work, Pomodoro & reading","Deep Work, Pomodoro & Lesen","Deep work, Pomodoro & lecture","Trabajo profundo, Pomodoro y lectura"
"Presets for your practice","Presets for your practice","Presets für deine Praxis","Des préréglages pour votre pratique","Presets para tu práctica"
"Ready to start — and free forever.","Ready to start — and free forever.","Sofort startklar — und für immer kostenlos.","Prêts à l'emploi — et gratuits pour toujours.","Listos para empezar — y gratis para siempre."
"More in the library","More in the library","Mehr in der Bibliothek","Plus dans la bibliothèque","Más en la biblioteca"
"Sound, haptics & light","Sound, haptics & light","Klang, Haptik & Licht","Son, haptique & lumière","Sonido, háptica y luz"
"…and some more in the app.","…and some more in the app.","…und einige mehr in der App.","…et quelques autres dans l'app.","…y algunas más en la app."
"Customize your own timers with cues like these and many more — try them:","Customize your own timers with cues like these and many more — try them:","Gestalte deine eigenen Timer mit Signalen wie diesen und vielen mehr — probier sie aus:","Personnalisez vos propres minuteurs avec des signaux comme ceux-ci et bien d'autres — essayez-les :","Personaliza tus propios temporizadores con señales como estas y muchas más — pruébalas:"
"Voice","Voice","Stimme","Voix","Voz"
"Female","Female","Weiblich","Féminine","Femenina"
"Male","Male","Männlich","Masculine","Masculina"
"A voice can mark the beginning and end of a practice.","A voice can mark the beginning and end of a practice.","Eine Stimme kann Beginn und Ende einer Praxis markieren.","Une voix peut marquer le début et la fin d'une pratique.","Una voz puede marcar el inicio y el final de una práctica."
"Sound","Sound","Klang","Son","Sonido"
"Haptics","Haptics","Haptik","Haptique","Háptica"
"Light","Light","Licht","Lumière","Luz"
"Color burst","Color burst","Farbimpuls","Éclat de couleur","Destello de color"
"Programs that grow with you.","Programs that grow with you.","Programme, die mit dir wachsen.","Des programmes qui évoluent avec vous.","Programas que crecen contigo."
"Structured plans that help you progress — session by session. Check them out:","Structured plans that help you progress — session by session. Check them out:","Strukturierte Pläne, die dir helfen, Fortschritte zu machen — Session für Session. Schau sie dir an:","Des plans structurés qui vous aident à progresser — séance après séance. Découvrez-les :","Planes estructurados que te ayudan a progresar — sesión a sesión. Échales un vistazo:"
"%d units","%d units","%d Einheiten","%d unités","%d unidades"
"From run/walk intervals to your first 5K","From run/walk intervals to your first 5K","Von Geh-Lauf-Intervallen zu deinen ersten 5 km","Des intervalles marche/course à votre premier 5 km","De intervalos de caminar/correr a tus primeros 5 km"
"Read longer, without interruption","Read longer, without interruption","Länger lesen, ohne Unterbrechung","Lisez plus longtemps, sans interruption","Lee más tiempo, sin interrupciones"
"From 5 quiet minutes to 30","From 5 quiet minutes to 30","Von 5 stillen Minuten zu 30","De 5 minutes de calme à 30","De 5 minutos de calma a 30"
"One more thing","One more thing","Noch etwas","Une dernière chose","Una cosa más"
"Unlimited custom timers","Unlimited custom timers","Unbegrenzt eigene Timer","Minuteurs personnalisés illimités","Temporizadores personalizados ilimitados"
"Every program, every unit","Every program, every unit","Jedes Programm, jede Einheit","Tous les programmes, toutes les unités","Todos los programas, todas las unidades"
"7-day free trial with the annual plan","7-day free trial with the annual plan","7 Tage kostenlos testen im Jahresplan","7 jours d'essai gratuit avec le plan annuel","7 días de prueba gratis con el plan anual"
"Your first 2 runs of custom timers & programs are free — and all presets stay free forever.","Your first 2 runs of custom timers & programs are free — and all presets stay free forever.","Deine ersten 2 Runs mit eigenen Timern & Programmen sind kostenlos — und alle Presets bleiben für immer gratis.","Vos 2 premières sessions de minuteurs personnalisés & programmes sont offertes — et tous les préréglages restent gratuits pour toujours.","Tus 2 primeras sesiones con temporizadores personalizados y programas son gratis — y todos los presets siguen siendo gratis para siempre."
"Discover Pro","Discover Pro","Pro entdecken","Découvrir Pro","Descubre Pro"
"Not now","Not now","Jetzt nicht","Pas maintenant","Ahora no"
